
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-03, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
   710 |  2.742e-07 |  2.740e-08 |  8.241e-09 |  8.02e-05 |  1.87e-04 |  5.43e-05 |  1.42e-02 |  7.85e-03 |  1.12e-04 |  1.0e-04 |  4.56e-11 |  1.07e-03
   720 |  2.719e-07 |  2.717e-08 |  8.168e-09 |  7.98e-05 |  1.86e-04 |  5.49e-05 |  1.41e-02 |  7.80e-03 |  1.10e-04 |  1.0e-04 |  5.85e-11 |  1.06e-03
   730 |  2.698e-07 |  2.696e-08 |  8.091e-09 |  7.94e-05 |  1.85e-04 |  5.50e-05 |  1.40e-02 |  7.75e-03 |  1.09e-04 |  1.0e-04 |  4.65e-11 |  1.06e-03
   740 |  2.676e-07 |  2.674e-08 |  8.002e-09 |  7.90e-05 |  1.84e-04 |  5.45e-05 |  1.39e-02 |  7.70e-03 |  1.07e-04 |  1.0e-04 |  6.19e-11 |  1.06e-03
   750 |  2.654e-07 |  2.652e-08 |  7.913e-09 |  7.86e-05 |  1.83e-04 |  5.40e-05 |  1.37e-02 |  8.42e-03 |  1.16e-04 |  1.0e-04 |  5.13e-11 |  1.06e-03
   760 |  2.632e-07 |  2.630e-08 |  7.832e-09 |  7.82e-05 |  1.82e-04 |  5.42e-05 |  1.36e-02 |  8.37e-03 |  1.14e-04 |  1.0e-04 |  4.85e-11 |  1.06e-03
   770 |  2.611e-07 |  2.609e-08 |  7.741e-09 |  7.78e-05 |  1.81e-04 |  5.39e-05 |  1.35e-02 |  8.32e-03 |  1.12e-04 |  1.0e-04 |  4.69e-11 |  1.05e-03
   780 |  2.590e-07 |  2.588e-08 |  7.657e-09 |  7.74e-05 |  1.80e-04 |  5.36e-05 |  1.34e-02 |  8.26e-03 |  1.10e-04 |  1.0e-04 |  5.10e-11 |  1.05e-03
   790 |  2.570e-07 |  2.568e-08 |  7.581e-09 |  7.70e-05 |  1.79e-04 |  5.34e-05 |  1.33e-02 |  8.21e-03 |  1.09e-04 |  1.0e-04 |  6.13e-11 |  1.05e-03
   800 |  2.550e-07 |  2.549e-08 |  7.503e-09 |  7.66e-05 |  1.77e-04 |  5.32e-05 |  1.31e-02 |  8.16e-03 |  1.07e-04 |  1.0e-04 |  5.31e-11 |  1.05e-03
   810 |  2.531e-07 |  2.529e-08 |  7.432e-09 |  7.63e-05 |  1.76e-04 |  5.33e-05 |  1.30e-02 |  8.12e-03 |  1.06e-04 |  1.0e-04 |  5.17e-11 |  1.05e-03
   820 |  2.513e-07 |  2.511e-08 |  7.363e-09 |  7.60e-05 |  1.75e-04 |  5.30e-05 |  1.29e-02 |  8.07e-03 |  1.04e-04 |  1.0e-04 |  5.80e-11 |  1.04e-03
   830 |  2.495e-07 |  2.493e-08 |  7.284e-09 |  7.56e-05 |  1.74e-04 |  5.27e-05 |  1.28e-02 |  8.02e-03 |  1.03e-04 |  1.0e-04 |  4.59e-11 |  1.04e-03
   840 |  2.477e-07 |  2.475e-08 |  7.222e-09 |  7.53e-05 |  1.73e-04 |  5.29e-05 |  1.27e-02 |  7.97e-03 |  1.01e-04 |  1.0e-04 |  4.49e-11 |  1.04e-03
