iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1000,0.009233,9.179e-09,1.1881e-08,7.7841e-10,2.6244000000000003e-10,6.17796e-09
1010,0.009134,9.045e-09,1.1664e-08,7.728400000000001e-10,2.6244000000000003e-10,6.146559999999999e-09
1020,0.009037,8.913e-09,1.1449e-08,7.728400000000001e-10,2.6244000000000003e-10,6.130890000000001e-09
1030,0.008943,8.784e-09,1.1236e-08,7.728400000000001e-10,2.6569e-10,6.09961e-09
1040,0.008852,8.658e-09,1.1025000000000001e-08,7.672899999999999e-10,2.6569e-10,6.084e-09
1050,0.008763,8.534e-09,1.0815999999999999e-08,7.672899999999999e-10,2.6569e-10,6.052839999999999e-09
1060,0.008677,8.412e-09,1.0815999999999999e-08,7.6176e-10,2.6569e-10,6.03729e-09
1070,0.008593,8.294e-09,1.0609e-08,7.6176e-10,2.6895999999999997e-10,6.00625e-09
1080,0.008511,8.179e-09,1.0404e-08,7.5625e-10,2.6895999999999997e-10,5.990759999999999e-09
1090,0.008431,8.066e-09,1.0201e-08,7.5625e-10,2.6895999999999997e-10,5.9752899999999995e-09
1100,0.008354,7.957e-09,1e-08,7.507599999999999e-10,2.6895999999999997e-10,5.944410000000001e-09
1110,0.008278,7.851e-09,9.920159999999999e-09,7.4529e-10,2.6895999999999997e-10,5.9290000000000005e-09
1120,0.008205,7.747e-09,9.78121e-09,7.4529e-10,2.7225e-10,5.89824e-09
1130,0.008128,7.643e-09,9.643240000000001e-09,7.3984e-10,2.7225e-10,5.882889999999999e-09
1140,0.008052,7.539e-09,9.486759999999999e-09,7.3984e-10,2.7225e-10,5.85225e-09
1150,0.007977,7.438e-09,9.350890000000002e-09,7.344100000000001e-10,2.7225e-10,5.83696e-09
1160,0.007905,7.341e-09,9.216000000000001e-09,7.344100000000001e-10,2.7225e-10,5.80644e-09
1170,0.007834,7.247e-09,9.08209e-09,7.29e-10,2.7556000000000003e-10,5.791210000000001e-09
1180,0.007766,7.155e-09,8.94916e-09,7.2361e-10,2.7556000000000003e-10,5.776000000000001e-09
1190,0.007699,7.067e-09,8.835999999999999e-09,7.2361e-10,2.7556000000000003e-10,5.74564e-09
1200,0.007634,6.982e-09,8.72356e-09,7.182400000000001e-10,2.7556000000000003e-10,5.73049e-09
1210,0.00757,6.899e-09,8.593290000000001e-09,7.182400000000001e-10,2.7556000000000003e-10,5.700250000000001e-09
1220,0.007508,6.819e-09,8.482410000000001e-09,7.128899999999999e-10,2.7556000000000003e-10,5.685160000000001e-09
1230,0.007447,6.741e-09,8.37225e-09,7.0756e-10,2.7556000000000003e-10,5.67009e-09
1240,0.007388,6.667e-09,8.281e-09,7.0756e-10,2.7888999999999995e-10,5.6400099999999994e-09
1250,0.00733,6.594e-09,8.17216e-09,7.0225e-10,2.7888999999999995e-10,5.624999999999999e-09
1260,0.007274,6.524e-09,8.08201e-09,6.9696e-10,2.7888999999999995e-10,5.610010000000001e-09
1270,0.007219,6.457e-09,7.99236e-09,6.9696e-10,2.7888999999999995e-10,5.59504e-09
1280,0.007165,6.391e-09,7.90321e-09,6.916899999999999e-10,2.7888999999999995e-10,5.5651599999999994e-09
1290,0.007112,6.328e-09,7.81456e-09,6.8644e-10,2.7888999999999995e-10,5.5502499999999995e-09
1300,0.00706,6.267e-09,7.726409999999999e-09,6.8644e-10,2.7888999999999995e-10,5.535360000000001e-09
1310,0.007009,6.208e-09,7.63876e-09,6.812100000000001e-10,2.7888999999999995e-10,5.520490000000001e-09
1320,0.006959,6.15e-09,7.569e-09,6.759999999999999e-10,2.7888999999999995e-10,5.50564e-09
1330,0.006911,6.095e-09,7.48225e-09,6.759999999999999e-10,2.8223999999999995e-10,5.49081e-09
1340,0.006863,6.041e-09,7.413210000000001e-09,6.7081e-10,2.8223999999999995e-10,5.461209999999999e-09
1350,0.006815,5.99e-09,7.344489999999999e-09,6.6564e-10,2.8223999999999995e-10,5.446440000000001e-09
1360,0.006769,5.94e-09,7.27609e-09,6.6564e-10,2.8223999999999995e-10,5.431690000000001e-09
1370,0.006724,5.891e-09,7.208010000000001e-09,6.604900000000001e-10,2.8223999999999995e-10,5.41696e-09
1380,0.006679,5.844e-09,7.140249999999999e-09,6.553599999999999e-10,2.8223999999999995e-10,5.40225e-09
1390,0.006635,5.799e-09,7.08964e-09,6.553599999999999e-10,2.8223999999999995e-10,5.3875599999999995e-09
1400,0.006591,5.755e-09,7.02244e-09,6.5025e-10,2.8223999999999995e-10,5.372890000000001e-09
1410,0.006548,5.713e-09,6.97225e-09,6.451600000000001e-10,2.8223999999999995e-10,5.35824e-09
1420,0.006506,5.671e-09,6.90561e-09,6.451600000000001e-10,2.8223999999999995e-10,5.34361e-09
1430,0.006464,5.632e-09,6.855839999999999e-09,6.400899999999999e-10,2.8223999999999995e-10,5.329e-09
1440,0.006423,5.593e-09,6.80625e-09,6.3504e-10,2.8561e-10,5.31441e-09
1450,0.006383,5.556e-09,6.756840000000001e-09,6.3504e-10,2.8561e-10,5.31441e-09
1460,0.006342,5.519e-09,6.70761e-09,6.3001e-10,2.8561e-10,5.299839999999999e-09
1470,0.006303,5.484e-09,6.658560000000001e-09,6.25e-10,2.8561e-10,5.2852900000000005e-09
1480,0.006264,5.45e-09,6.60969e-09,6.25e-10,2.8561e-10,5.27076e-09
1490,0.006225,5.417e-09,6.561000000000001e-09,6.200099999999999e-10,2.8561e-10,5.25625e-09
1500,0.006187,5.385e-09,6.51249e-09,6.1504e-10,2.8561e-10,5.2417599999999995e-09
1510,0.006149,5.354e-09,6.480250000000001e-09,6.1504e-10,2.8561e-10,5.227289999999999e-09
1520,0.006111,5.324e-09,6.43204e-09,6.1009e-10,2.8561e-10,5.227289999999999e-09
1530,0.006074,5.294e-09,6.400000000000001e-09,6.1009e-10,2.8561e-10,5.212840000000001e-09
1540,0.006037,5.266e-09,6.35209e-09,6.051600000000001e-10,2.8561e-10,5.1984100000000005e-09
1550,0.006001,5.238e-09,6.320249999999999e-09,6.0025e-10,2.8561e-10,5.184e-09
1560,0.005965,5.211e-09,6.2884900000000005e-09,6.0025e-10,2.89e-10,5.184e-09
1570,0.005929,5.185e-09,6.2409999999999994e-09,5.9536e-10,2.89e-10,5.16961e-09
1580,0.005894,5.159e-09,6.209440000000001e-09,5.904900000000001e-10,2.89e-10,5.155239999999999e-09
1590,0.005859,5.134e-09,6.17796e-09,5.904900000000001e-10,2.89e-10,5.140889999999999e-09
1600,0.005824,5.11e-09,6.146559999999999e-09,5.8564e-10,2.89e-10,5.140889999999999e-09
1610,0.00579,5.086e-09,6.115240000000001e-09,5.8081e-10,2.89e-10,5.1265600000000005e-09
1620,0.005756,5.063e-09,6.084e-09,5.8081e-10,2.89e-10,5.112250000000001e-09
1630,0.005723,5.04e-09,6.052839999999999e-09,5.760000000000001e-10,2.89e-10,5.112250000000001e-09
1640,0.00569,5.018e-09,6.0217600000000005e-09,5.760000000000001e-10,2.89e-10,5.09796e-09
1650,0.005657,4.996e-09,5.990759999999999e-09,5.7121e-10,2.89e-10,5.08369e-09
1660,0.005625,4.975e-09,5.959840000000001e-09,5.6644e-10,2.89e-10,5.08369e-09
1670,0.005593,4.954e-09,5.944410000000001e-09,5.6644e-10,2.9241e-10,5.069439999999999e-09
1680,0.005561,4.933e-09,5.91361e-09,5.616900000000001e-10,2.9241e-10,5.055209999999999e-09
1690,0.00553,4.913e-09,5.882889999999999e-09,5.616900000000001e-10,2.9241e-10,5.055209999999999e-09
1700,0.005499,4.893e-09,5.85225e-09,5.5696e-10,2.9241e-10,5.041e-09
1710,0.005469,4.873e-09,5.83696e-09,5.5696e-10,2.9241e-10,5.041e-09
1720,0.005439,4.854e-09,5.80644e-09,5.522499999999999e-10,2.9241e-10,5.02681e-09
1730,0.005409,4.835e-09,5.776000000000001e-09,5.4756e-10,2.9241e-10,5.01264e-09
1740,0.00538,4.816e-09,5.76081e-09,5.4756e-10,2.9241e-10,5.01264e-09
1750,0.005351,4.797e-09,5.73049e-09,5.428900000000001e-10,2.9241e-10,4.998489999999999e-09
1760,0.005323,4.779e-09,5.700250000000001e-09,5.428900000000001e-10,2.9241e-10,4.984359999999999e-09
1770,0.005295,4.761e-09,5.685160000000001e-09,5.382400000000001e-10,2.9241e-10,4.984359999999999e-09
1780,0.005268,4.743e-09,5.6550399999999995e-09,5.382400000000001e-10,2.9241e-10,4.970250000000001e-09
1790,0.005241,4.725e-09,5.6400099999999994e-09,5.3361e-10,2.9241e-10,4.970250000000001e-09
1800,0.005215,4.707e-09,5.610010000000001e-09,5.29e-10,2.9584000000000004e-10,4.95616e-09
1810,0.005189,4.69e-09,5.58009e-09,5.29e-10,2.9584000000000004e-10,4.94209e-09
1820,0.005163,4.673e-09,5.5651599999999994e-09,5.244100000000001e-10,2.9584000000000004e-10,4.94209e-09
1830,0.005138,4.655e-09,5.535360000000001e-09,5.244100000000001e-10,2.9584000000000004e-10,4.92804e-09
1840,0.005114,4.638e-09,5.520490000000001e-09,5.198399999999999e-10,2.9584000000000004e-10,4.92804e-09
1850,0.00509,4.621e-09,5.49081e-09,5.198399999999999e-10,2.9584000000000004e-10,4.914009999999999e-09
1860,0.005066,4.604e-09,5.476e-09,5.1529e-10,2.9584000000000004e-10,4.914009999999999e-09
1870,0.005043,4.587e-09,5.446440000000001e-09,5.1529e-10,2.9584000000000004e-10,4.899999999999999e-09
1880,0.005021,4.571e-09,5.431690000000001e-09,5.1076e-10,2.9584000000000004e-10,4.8860100000000006e-09
1890,0.004999,4.554e-09,5.40225e-09,5.1076e-10,2.9584000000000004e-10,4.8860100000000006e-09
1900,0.004977,4.537e-09,5.3875599999999995e-09,5.062500000000001e-10,2.9584000000000004e-10,4.87204e-09
1910,0.004956,4.521e-09,5.35824e-09,5.062500000000001e-10,2.9584000000000004e-10,4.87204e-09
1920,0.004935,4.505e-09,5.34361e-09,5.017599999999999e-10,2.9584000000000004e-10,4.85809e-09
1930,0.004914,4.488e-09,5.31441e-09,4.9729e-10,2.9584000000000004e-10,4.84416e-09
1940,0.004892,4.47e-09,5.299839999999999e-09,4.9729e-10,2.9584000000000004e-10,4.84416e-09
1950,0.004871,4.453e-09,5.27076e-09,4.9284e-10,2.9584000000000004e-10,4.8302499999999995e-09
1960,0.00485,4.436e-09,5.25625e-09,4.9284e-10,2.9584000000000004e-10,4.8302499999999995e-09
