iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source,alpha,tau,lam,mu,kkt_res,d_inf,d_l2
940,nan,0.0004187,nan,0.0004187,PDE_obj_MSE,0.513,0.4576036,0.0001,nan,0.00041,0.00344,0.00942
950,nan,0.0004154,nan,0.0004154,PDE_obj_MSE,0.904,0.4576036,0.0001,nan,0.00041,0.00102,0.00738
960,nan,0.0004074,nan,0.0004074,PDE_obj_MSE,0.196,0.4576036,0.0001,nan,0.00041,0.00527,0.014
970,nan,0.0004029,nan,0.0004029,PDE_obj_MSE,0.133,0.4576036,0.0001,nan,0.0004,0.00594,0.0164
980,nan,0.0003974,nan,0.0003974,PDE_obj_MSE,0.16,0.4576036,0.0001,nan,0.0004,0.00531,0.0154
990,nan,0.0003942,nan,0.0003942,PDE_obj_MSE,0.454,0.4576036,0.0001,nan,0.0004,0.00196,0.00867
1000,nan,0.0003922,nan,0.0003922,PDE_obj_MSE,0.969,0.4576036,0.0001,nan,0.00039,0.00173,0.00542
1010,nan,0.000385,nan,0.000385,PDE_obj_MSE,0.338,0.4576036,0.0001,nan,0.00039,0.00278,0.00976
1020,nan,0.000381,nan,0.000381,PDE_obj_MSE,0.118,0.4576036,0.0001,nan,0.00039,0.00568,0.0178
1030,nan,0.0003795,nan,0.0003795,PDE_obj_MSE,0.49,0.4576036,0.0001,nan,0.00039,0.00251,0.00852
1040,nan,0.0003747,nan,0.0003747,PDE_obj_MSE,0.155,0.4576036,0.0001,nan,0.00039,0.00512,0.0147
1050,nan,0.0003712,nan,0.0003712,PDE_obj_MSE,0.096,0.4576036,0.0001,nan,0.00038,0.00576,0.0178
1060,nan,0.0003704,nan,0.0003704,PDE_obj_MSE,0.855,0.4576036,0.0001,nan,0.00038,0.00145,0.00606
1070,nan,0.0003643,nan,0.0003643,PDE_obj_MSE,0.0714,0.4576036,0.0001,nan,0.00038,0.00719,0.02
1080,nan,0.0003606,nan,0.0003606,PDE_obj_MSE,0.203,0.4576036,0.0001,nan,0.00038,0.00445,0.0133
1090,nan,0.0003581,nan,0.0003581,PDE_obj_MSE,1.02,0.4576036,0.0001,nan,0.00037,0.000794,0.0041
1100,nan,0.000354,nan,0.000354,PDE_obj_MSE,1.02,0.4576036,0.0001,nan,0.00037,0.000725,0.00424
1110,nan,0.0003506,nan,0.0003506,PDE_obj_MSE,1.01,0.4576036,0.0001,nan,0.00037,0.000598,0.00367
1120,nan,0.0003517,nan,0.0003517,PDE_obj_MSE,0.688,0.4576036,0.0001,nan,0.00037,0.00176,0.00746
1130,nan,0.0003443,nan,0.0003443,PDE_obj_MSE,0.123,0.4576036,0.0001,nan,0.00037,0.00606,0.017
1140,nan,0.0003433,nan,0.0003433,PDE_obj_MSE,0.111,0.4576036,0.0001,nan,0.00037,0.00647,0.0177
1150,nan,0.00034,nan,0.00034,PDE_obj_MSE,0.0917,0.4576036,0.0001,nan,0.00036,0.00569,0.0177
1160,nan,0.0003362,nan,0.0003362,PDE_obj_MSE,0.26,0.4576036,0.0001,nan,0.00036,0.00424,0.0111
1170,nan,0.0003347,nan,0.0003347,PDE_obj_MSE,0.0909,0.4576036,0.0001,nan,0.00036,0.00732,0.0216
1180,nan,0.0003305,nan,0.0003305,PDE_obj_MSE,0.146,0.4576036,0.0001,nan,0.00036,0.00563,0.0168
1190,nan,0.000331,nan,0.000331,PDE_obj_MSE,0.976,0.4576036,0.0001,nan,0.00035,0.00101,0.00468
1200,nan,0.0003263,nan,0.0003263,PDE_obj_MSE,0.233,0.4576036,0.0001,nan,0.00035,0.00343,0.0111
1210,nan,0.0003243,nan,0.0003243,PDE_obj_MSE,0.339,0.4576036,0.0001,nan,0.00035,0.00272,0.00851
1220,nan,0.0003216,nan,0.0003216,PDE_obj_MSE,0.254,0.4576036,0.0001,nan,0.00035,0.00265,0.00914
1230,nan,0.0003203,nan,0.0003203,PDE_obj_MSE,0.448,0.4576036,0.0001,nan,0.00035,0.00267,0.00793
1240,nan,0.0003171,nan,0.0003171,PDE_obj_MSE,0.129,0.4576036,0.0001,nan,0.00035,0.00534,0.0163
