iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
900,0.0004337,4.337e-05,1.782e-09,3.95641e-09,2.19961e-11,4.4890000000000006e-11,1.4400000000000002e-10,0.003858,0.4576036,0.296,0.36,0.00042,0.00386,0.0111
910,0.0004318,4.3179999999999997e-05,3.345e-09,4.38244e-09,2.05209e-11,4.4622400000000006e-11,1.4161e-10,0.001525,0.4576036,0.839,0.358,0.00042,0.00152,0.00619
920,0.000426,4.26e-05,2.447e-09,7.90321e-09,2.0070400000000003e-11,4.39569e-11,1.3689e-10,0.002457,0.4576036,0.69,0.356,0.00042,0.00246,0.00746
930,0.00042,4.2000000000000004e-05,3.44e-09,4.019559999999999e-09,2.1436899999999996e-11,4.39569e-11,1.3456000000000002e-10,0.004111,0.4576036,0.352,0.354,0.00041,0.00411,0.0102
940,0.0004187,4.187e-05,5.264e-10,9.37024e-09,2.025e-11,4.3164899999999994e-11,1.3225e-10,0.003442,0.4576036,0.513,0.352,0.00041,0.00344,0.00942
950,0.0004154,4.154e-05,5.861e-09,1.4161000000000002e-08,2.0070400000000003e-11,4.2640900000000003e-11,1.2995999999999998e-10,0.001023,0.4576036,0.904,0.35,0.00041,0.00102,0.00738
960,0.0004074,4.074e-05,8.638e-10,5.184e-09,1.9980900000000004e-11,4.25104e-11,1.2543999999999998e-10,0.005268,0.4576036,0.196,0.348,0.00041,0.00527,0.014
970,0.0004029,4.0289999999999995e-05,1.434e-09,8.70489e-09,1.9891599999999998e-11,4.2380100000000006e-11,1.2321e-10,0.005944,0.4576036,0.133,0.347,0.0004,0.00594,0.0164
980,0.0003974,3.974e-05,4.46e-09,9.216000000000001e-09,1.8490000000000002e-11,4.16025e-11,1.21e-10,0.005314,0.4576036,0.16,0.345,0.0004,0.00531,0.0154
990,0.0003942,3.942e-05,7.062e-10,4.8860100000000006e-09,1.8490000000000002e-11,4.04496e-11,1.1664e-10,0.001961,0.4576036,0.454,0.343,0.0004,0.00196,0.00867
1000,0.0003922,3.922e-05,3.816e-09,4.10881e-09,1.9096899999999998e-11,4.07044e-11,1.1448999999999998e-10,0.001727,0.4576036,0.969,0.341,0.00039,0.00173,0.00542
