iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
2430,0.004266,0.00042659999999999996,3.74e-09,6.115553940568262e-05,0.01403,0.4538431,0.00239,0.0021
2440,0.004258,0.00042579999999999994,3.729e-09,6.10655385630881e-05,0.014,0.4538431,0.00239,0.0021
2450,0.004251,0.0004251,3.717e-09,6.0967204298704724e-05,0.01397,0.4538431,0.00238,0.0021
2460,0.004243,0.0004243,3.706e-09,6.0876925020897694e-05,0.01394,0.4538431,0.00237,0.0021
2470,0.004236,0.0004236,3.695e-09,6.078651166171653e-05,0.01391,0.4538431,0.00237,0.0021
2480,0.004229,0.00042290000000000003,3.684e-09,6.069596362197407e-05,0.01388,0.4538431,0.00236,0.0021
2490,0.004222,0.0004222,3.673e-09,6.060528029800704e-05,0.01385,0.4538431,0.00236,0.0021
2500,0.004215,0.0004215,3.662e-09,6.051446108162908e-05,0.01383,0.4538431,0.00235,0.0021
2510,0.004208,0.0004208,3.651e-09,6.0423505360083174e-05,0.0138,0.4538431,0.00235,0.0021
2520,0.004201,0.00042009999999999997,3.641e-09,6.034069936618236e-05,0.01377,0.4538431,0.00234,0.0021
2530,0.004194,0.0004194,3.631e-09,6.025777958073132e-05,0.01374,0.4538431,0.00234,0.0021
2540,0.004187,0.0004187,3.621e-09,6.017474553332153e-05,0.01372,0.4538431,0.00233,0.0021
2550,0.004181,0.00041809999999999997,3.61e-09,6.0083275543199206e-05,0.01369,0.4538431,0.00233,0.0021
2560,0.004174,0.00041739999999999995,3.601e-09,6.000833275470999e-05,0.01366,0.4538431,0.00232,0.002
2570,0.004168,0.0004168,3.591e-09,5.992495306631454e-05,0.01364,0.4538431,0.00232,0.002
2580,0.004161,0.0004161,3.581e-09,5.984145720150872e-05,0.01361,0.4538431,0.00231,0.002
2590,0.004155,0.00041549999999999996,3.572e-09,5.976621118993574e-05,0.01358,0.4538431,0.00231,0.002
2600,0.004149,0.0004149,3.562e-09,5.9682493245507096e-05,0.01356,0.4538431,0.0023,0.002
2610,0.004142,0.0004142,3.553e-09,5.9607046563304916e-05,0.01353,0.4538431,0.0023,0.002
