iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
700,0.2959,0.02945,0.0475,0.029583999999999996,0.044521,0.085849,0.11022400000000002,0.172,0.211,0.293,0.332,3.33,0.00235,0.00783,0.0001,6.8e-09,0.56,0.0364
710,0.2813,0.02798,0.04472,0.027889000000000004,0.043264,0.07728400000000002,0.104329,0.167,0.208,0.278,0.323,3.3,0.00283,0.00933,0.0001,4.48e-09,0.539,0.0364
720,0.2648,0.0263,0.04154,0.026244,0.041209,0.06760000000000001,0.097969,0.162,0.203,0.26,0.313,3.19,0.00374,0.0119,0.0001,4.72e-09,0.515,0.0364
730,0.2454,0.02433,0.03784,0.024025,0.038809,0.055695999999999996,0.09,0.155,0.197,0.236,0.3,3.03,0.00449,0.0136,0.0001,4.57e-09,0.487,0.0364
740,0.2221,0.02195,0.03361,0.021608999999999996,0.035344,0.044521,0.08122499999999999,0.147,0.188,0.211,0.285,2.8,0.00594,0.0166,0.0001,3.37e-09,0.454,0.0364
750,0.1946,0.01917,0.02918,0.018769000000000004,0.030624999999999996,0.038809,0.07022500000000001,0.137,0.175,0.197,0.265,2.6,0.00786,0.0204,0.0001,3.25e-09,0.414,0.0364
760,0.1654,0.01625,0.02485,0.015876,0.025281,0.036864,0.058564,0.126,0.159,0.192,0.242,2.05,0.00945,0.0194,0.0001,2.3e-09,0.37,0.0364
770,0.1337,0.01302,0.01999,0.012769,0.019600000000000003,0.033489,0.046224999999999995,0.113,0.14,0.183,0.215,1.67,0.0138,0.0229,0.0001,2.04e-09,0.317,0.0364
780,0.09328,0.008832,0.01349,0.00855625,0.013225,0.0256,0.029928999999999997,0.0925,0.115,0.16,0.173,0.834,0.0266,0.0222,0.0001,1.73e-09,0.247,0.0364
790,0.04654,0.004269,0.006087,0.00403225,0.006740410000000001,0.010608999999999999,0.012769,0.0635,0.0821,0.103,0.113,0.695,0.0469,0.0326,0.0001,9.03e-10,0.164,0.0364
800,0.01572,0.00138,0.002007,0.0012110399999999998,0.0020160100000000004,0.00591361,0.0036240399999999994,0.0348,0.0449,0.0769,0.0602,0.286,0.0682,0.0195,0.0001,7.99e-10,0.105,0.0364
810,0.004287,0.0003831,0.0004709,0.00026896000000000005,0.00033124,0.00184041,0.0007672899999999999,0.0164,0.0182,0.0429,0.0277,0.17,0.0746,0.0127,0.0001,9.11e-10,0.0775,0.0364
820,0.001841,0.0001739,0.0001498,8.427240000000001e-05,6.938890000000002e-05,0.00070756,0.00020736,0.00918,0.00833,0.0266,0.0144,0.124,0.0557,0.00688,0.0001,7.2e-10,0.0666,0.0364
830,0.001181,0.0001145,6.68e-05,3.5880099999999996e-05,1.9713600000000004e-05,0.00037636,7.55161e-05,0.00599,0.00444,0.0194,0.00869,0.131,0.0458,0.00601,0.0001,5.53e-10,0.0604,0.0364
840,0.0009259,9.091e-05,3.621e-05,1.8404100000000002e-05,7.182400000000001e-06,0.00023104,3.42225e-05,0.00429,0.00268,0.0152,0.00585,0.131,0.0376,0.00495,0.0001,5.88e-10,0.056,0.0364
850,0.0007984,7.891e-05,2.204e-05,1.06276e-05,3.2040999999999995e-06,0.00015129,1.7892900000000003e-05,0.00326,0.00179,0.0123,0.00423,0.127,0.0309,0.00394,0.0001,5.83e-10,0.0526,0.0364
