iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
2260,0.0001733,1.7330000000000002e-05,6.897e-10,2.626214004988931e-05,0.002018,0.4576036,0.243,0.00024
2270,0.0001727,1.727e-05,4.899e-10,2.2133684736166276e-05,0.00179,0.4576036,0.429,0.00024
2280,0.0001713,1.713e-05,7.85e-10,2.80178514522438e-05,0.0002838,0.4576036,1.01,0.00024
2290,0.0001717,1.717e-05,3.851e-10,1.962396494085739e-05,0.001209,0.4576036,0.757,0.00024
2300,0.0001703,1.7029999999999998e-05,7.589e-10,2.7548139683107462e-05,0.003085,0.4576036,0.241,0.00024
2310,0.0001684,1.684e-05,1.91e-09,4.370354676682431e-05,0.0003883,0.4576036,1.0,0.00024
2320,0.0001677,1.677e-05,6.448e-10,2.5392912396966204e-05,0.002605,0.4576036,0.198,0.00024
2330,0.0001673,1.673e-05,5.091e-10,2.256324444755231e-05,0.002282,0.4576036,0.35,0.00024
2340,0.0001682,1.6819999999999998e-05,1.288e-09,3.5888716889852724e-05,0.001181,0.4576036,0.995,0.00024
2350,0.0001664,1.664e-05,1.484e-09,3.852272056851644e-05,0.0008234,0.4576036,0.993,0.00024
2360,0.0001654,1.654e-05,1.027e-09,3.204684071792413e-05,0.00209,0.4576036,0.316,0.00024
2370,0.000164,1.64e-05,7.119e-10,2.6681454233230992e-05,0.0002953,0.4576036,0.988,0.00024
2380,0.0001656,1.6559999999999997e-05,1.796e-09,4.237924020083418e-05,0.001202,0.4576036,0.986,0.00023
2390,0.0001623,1.623e-05,8.674e-10,2.945165530152762e-05,0.0002881,0.4576036,0.984,0.00023
2400,0.0001631,1.631e-05,2.112e-09,4.595650117230423e-05,0.0009201,0.4576036,0.981,0.00023
2410,0.000161,1.6100000000000002e-05,9.102e-10,3.0169521043596302e-05,0.0002856,0.4576036,0.979,0.00023
2420,0.0001591,1.591e-05,1.112e-09,3.3346664001066135e-05,0.0002599,0.4576036,0.977,0.00023
2430,0.0001584,1.584e-05,1.809e-09,4.253234063627348e-05,0.0008895,0.4576036,0.975,0.00023
2440,0.0001586,1.586e-05,1.665e-09,4.080441152620633e-05,0.000461,0.4576036,0.972,0.00023
2450,0.0001571,1.571e-05,4.267e-10,2.0656718035544756e-05,0.001714,0.4576036,0.374,0.00023
2460,0.0001571,1.571e-05,3.922e-10,1.9804039991880445e-05,0.001712,0.4576036,0.452,0.00023
2470,0.0001561,1.561e-05,9.212e-10,3.035127674415032e-05,0.00391,0.4576036,0.0891,0.00023
2480,0.0001551,1.551e-05,8.776e-10,2.9624314338056838e-05,0.002134,0.4576036,0.338,0.00023
2490,0.0001546,1.5459999999999998e-05,5.455e-10,2.3355941428253326e-05,0.002472,0.4576036,0.173,0.00023
2500,0.0001538,1.538e-05,1.621e-09,4.0261644278394794e-05,0.000219,0.4576036,0.959,0.00023
2510,0.0001524,1.524e-05,1.51e-09,3.8858718455450893e-05,0.000375,0.4576036,0.957,0.00023
2520,0.0001523,1.5229999999999998e-05,5.207e-10,2.281885185542866e-05,0.003795,0.4576036,0.0728,0.00023
2530,0.0001517,1.517e-05,4.618e-10,2.14895323355349e-05,0.001499,0.4576036,0.489,0.00022
2540,0.0001505,1.505e-05,4.746e-10,2.1785316155612705e-05,0.003,0.4576036,0.106,0.00023
