iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
2590,nan,0.2999,nan,0.2999,PDE_obj_MSE
2600,nan,0.2999,nan,0.2999,PDE_obj_MSE
2610,nan,0.2999,nan,0.2999,PDE_obj_MSE
2620,nan,0.2999,nan,0.2999,PDE_obj_MSE
2630,nan,0.2999,nan,0.2999,PDE_obj_MSE
2640,nan,0.2999,nan,0.2999,PDE_obj_MSE
2650,nan,0.2999,nan,0.2999,PDE_obj_MSE
2660,nan,0.2999,nan,0.2999,PDE_obj_MSE
2670,nan,0.2999,nan,0.2999,PDE_obj_MSE
2680,nan,0.2999,nan,0.2999,PDE_obj_MSE
2690,nan,0.2999,nan,0.2999,PDE_obj_MSE
2700,nan,0.2999,nan,0.2999,PDE_obj_MSE
2710,nan,0.2999,nan,0.2999,PDE_obj_MSE
2720,nan,0.2999,nan,0.2999,PDE_obj_MSE
2730,nan,0.2999,nan,0.2999,PDE_obj_MSE
2740,nan,0.2999,nan,0.2999,PDE_obj_MSE
2750,nan,0.2999,nan,0.2999,PDE_obj_MSE
2760,nan,0.2999,nan,0.2999,PDE_obj_MSE
2770,nan,0.2999,nan,0.2999,PDE_obj_MSE
2780,nan,0.2999,nan,0.2999,PDE_obj_MSE
2790,nan,0.2999,nan,0.2999,PDE_obj_MSE
2800,nan,0.2999,nan,0.2999,PDE_obj_MSE
2810,nan,0.2999,nan,0.2999,PDE_obj_MSE
2820,nan,0.2999,nan,0.2999,PDE_obj_MSE
2830,nan,0.2999,nan,0.2999,PDE_obj_MSE
2840,nan,0.2999,nan,0.2999,PDE_obj_MSE
2850,nan,0.2999,nan,0.2999,PDE_obj_MSE
2860,nan,0.2999,nan,0.2999,PDE_obj_MSE
2870,nan,0.2999,nan,0.2999,PDE_obj_MSE
2880,nan,0.2999,nan,0.2999,PDE_obj_MSE
2890,nan,0.2999,nan,0.2999,PDE_obj_MSE
2900,nan,0.2999,nan,0.2999,PDE_obj_MSE
2910,nan,0.2999,nan,0.2999,PDE_obj_MSE
2920,nan,0.2999,nan,0.2999,PDE_obj_MSE
2930,nan,0.2999,nan,0.2999,PDE_obj_MSE
2940,nan,0.2999,nan,0.2999,PDE_obj_MSE
2950,nan,0.2999,nan,0.2999,PDE_obj_MSE
2960,nan,0.2999,nan,0.2999,PDE_obj_MSE
2970,nan,0.2999,nan,0.2999,PDE_obj_MSE
2980,nan,0.2999,nan,0.2999,PDE_obj_MSE
2990,nan,0.2999,nan,0.2999,PDE_obj_MSE
3000,nan,0.2999,nan,0.2999,PDE_obj_MSE
3010,nan,0.2999,nan,0.2999,PDE_obj_MSE
3020,nan,0.2999,nan,0.2999,PDE_obj_MSE
3030,nan,0.2999,nan,0.2999,PDE_obj_MSE
3040,nan,0.2999,nan,0.2999,PDE_obj_MSE
3050,nan,0.2999,nan,0.2999,PDE_obj_MSE
3060,nan,0.2999,nan,0.2999,PDE_obj_MSE
3070,nan,0.2999,nan,0.2999,PDE_obj_MSE
3080,nan,0.2999,nan,0.2999,PDE_obj_MSE
3090,nan,0.2999,nan,0.2999,PDE_obj_MSE
3100,nan,0.2999,nan,0.2999,PDE_obj_MSE
3110,nan,0.2999,nan,0.2999,PDE_obj_MSE
3120,nan,0.2999,nan,0.2999,PDE_obj_MSE
3130,nan,0.2999,nan,0.2999,PDE_obj_MSE
3140,nan,0.2999,nan,0.2999,PDE_obj_MSE
3150,nan,0.2999,nan,0.2999,PDE_obj_MSE
3160,nan,0.2999,nan,0.2999,PDE_obj_MSE
3170,nan,0.2999,nan,0.2999,PDE_obj_MSE
3180,nan,0.2999,nan,0.2999,PDE_obj_MSE
3190,nan,0.2999,nan,0.2999,PDE_obj_MSE
3200,nan,0.2999,nan,0.2999,PDE_obj_MSE
3210,nan,0.2999,nan,0.2999,PDE_obj_MSE
3220,nan,0.2999,nan,0.2999,PDE_obj_MSE
3230,nan,0.2999,nan,0.2999,PDE_obj_MSE
3240,nan,0.2999,nan,0.2999,PDE_obj_MSE
3250,nan,0.2999,nan,0.2999,PDE_obj_MSE
3260,nan,0.2999,nan,0.2999,PDE_obj_MSE
3270,nan,0.2999,nan,0.2999,PDE_obj_MSE
3280,nan,0.2999,nan,0.2999,PDE_obj_MSE
3290,nan,0.2999,nan,0.2999,PDE_obj_MSE
3300,nan,0.2999,nan,0.2999,PDE_obj_MSE
3310,nan,0.2999,nan,0.2999,PDE_obj_MSE
3320,nan,0.2999,nan,0.2999,PDE_obj_MSE
3330,nan,0.2999,nan,0.2999,PDE_obj_MSE
3340,nan,0.2999,nan,0.2999,PDE_obj_MSE
3350,nan,0.2999,nan,0.2999,PDE_obj_MSE
3360,nan,0.2999,nan,0.2999,PDE_obj_MSE
3370,nan,0.2999,nan,0.2999,PDE_obj_MSE
3380,nan,0.2999,nan,0.2999,PDE_obj_MSE
3390,nan,0.2999,nan,0.2999,PDE_obj_MSE
3400,nan,0.2999,nan,0.2999,PDE_obj_MSE
3410,nan,0.2999,nan,0.2999,PDE_obj_MSE
3420,nan,0.2999,nan,0.2999,PDE_obj_MSE
3430,nan,0.2999,nan,0.2999,PDE_obj_MSE
3440,nan,0.2999,nan,0.2999,PDE_obj_MSE
3450,nan,0.2999,nan,0.2999,PDE_obj_MSE
3460,nan,0.2999,nan,0.2999,PDE_obj_MSE
3470,nan,0.2999,nan,0.2999,PDE_obj_MSE
3480,nan,0.2999,nan,0.2999,PDE_obj_MSE
3490,nan,0.2999,nan,0.2999,PDE_obj_MSE
