iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1210,0.0003243,7.289e-10,2.61121e-09,1.5523600000000002e-11,3.30625e-11,7.974489999999999e-11
1220,0.0003216,1.206e-09,2.601e-09,1.5288099999999998e-11,3.2947600000000004e-11,7.83225e-11
1230,0.0003203,8.387e-10,5.041e-09,1.4364100000000001e-11,3.2832900000000005e-11,7.708840000000001e-11
1240,0.0003171,1.617e-09,7.19104e-09,1.45161e-11,3.20356e-11,7.673760000000001e-11
1250,0.000314,5.637e-10,2.22784e-09,1.4899600000000003e-11,3.18096e-11,7.48225e-11
1260,0.0003112,2.428e-09,4.290250000000001e-09,1.41376e-11,3.1696900000000005e-11,7.396000000000001e-11
1270,0.0003124,1.737e-09,3.69664e-09,1.4592399999999997e-11,3.15844e-11,7.293159999999999e-11
1280,0.0003079,9.257e-10,3.3408400000000002e-09,1.4364100000000001e-11,3.18096e-11,7.19104e-11
1290,0.0003102,3.021e-09,1.6129e-08,1.39876e-11,3.1359999999999996e-11,7.089640000000001e-11
1300,0.0003026,8.364e-10,6.115240000000001e-09,1.4288399999999999e-11,3.10249e-11,6.972249999999999e-11
1310,0.000301,5.247e-10,5.882889999999999e-09,1.3912899999999999e-11,3.025e-11,6.889000000000001e-11
1320,0.0002986,6.949e-10,3.4105600000000003e-09,1.41376e-11,3.0913600000000004e-11,6.756839999999999e-11
1330,0.0002985,6.48e-10,4.32964e-09,1.444e-11,3.04704e-11,6.740409999999998e-11
1340,0.0002927,1.545e-09,4.92804e-09,1.4212899999999999e-11,3.03601e-11,6.60969e-11
1350,0.0002919,5.925e-10,1.31769e-09,1.3690000000000002e-11,2.9376399999999996e-11,6.512490000000001e-11
1360,0.0002896,1.302e-09,2.08849e-09,1.4212899999999999e-11,2.9484899999999996e-11,6.464159999999999e-11
1370,0.0002903,2.168e-09,4.4488899999999995e-09,1.40625e-11,2.90521e-11,6.4e-11
1380,0.0002864,2.768e-09,5.372890000000001e-09,1.35424e-11,2.90521e-11,6.304360000000001e-11
1390,0.0002857,1.4e-09,6.1622499999999995e-09,1.3764100000000001e-11,2.8944400000000003e-11,6.256810000000001e-11
1400,0.0002814,2.122e-09,6.35209e-09,1.49769e-11,2.92681e-11,6.17796e-11
